Events,Gold,Silver,Bronze,Year,Gender
55 kg (04.04),Anguel Rusev Bulgaria  111 + 147 = 258[n 1]​,Valentin Iancu Romania  108 + 140 = 248[n 1]​,Dmytro Voronovsky Ukraine  110 + 137 = 247[n 1]​,2020,Masculine
61 kg (04.04),Stilian Grozdev Bulgaria  136 + 160 = 296,Shota Mishvelidze Georgia  135 + 155 = 290,Ferdi Hardal Turkey  130 + 157 = 287,2020,Masculine
67 kg (05.04),Muhammed Özbek Turkey  145 + 178 = 323,Mirko Zanni Italy  148 + 170 = 318,Valentin Guenchev Bulgaria  138 + 177 = 315,2020,Masculine
73 kg (06.04),Daniyar İsmayilov Turkey  160 + 181 = 341,Marin Robu Moldavia  156 + 183 = 339,Briken Calja Albania  152 + 184 = 336,2020,Masculine
81 kg (07.04),Antonino Pizzolato Italy  164 + 206 = 370,Karlos Nasar Bulgaria  163 + 206 = 369,Ritvars Suharevs Latvia  157 + 190 = 347,2020,Masculine
89 kg (08.04),Karen Avaguian Armenia  175 + 200 = 375,Revaz Davitadze Georgia  171 + 203 = 374,Andranik Karapetian Armenia  170 + 195 = 365,2020,Masculine
96 kg (09.04),Anton Pliesnoi Georgia  180 + 213 = 393,Piotr Asayonak Belarus  172 + 202 = 374,Hakob Mkrtchian Armenia  160 + 212 = 372,2020,Masculine
102 kg (10.04),Samvel Gasparian Armenia  176 +214 = 390,Arsen Martirosian Armenia  171 + 209 = 380,Dadaş Dadaşbəyli Azerbaijan 177 + 202 = 379,2020,Masculine
109 kg (10.04),Dmytro Chumak Ukraine  181 + 226 = 407,Jristo Jristov Bulgaria  186 + 220 = 406,Timur Naniyev Russia  184 + 217 = 401,2020,Masculine
+109 kg (11.04),Lasha Talajadze Georgia  222 + 263 = 485,Gor Minasian Armenia  216 + 248 = 464,Varazdat Lalayan Armenia  205 + 240 = 445,2020,Masculine
45 kg (03.04),Nadezhda Nguen Bulgaria  72 + 83 = 155[n 1]​,Ivana Petrova Bulgaria  67 + 85 = 152[n 1]​,Melisa Güneş Turkey  68 + 83 = 151[n 1]​,2020,Femenine
49 kg (03.04),Monica Csengeri Romania  86 + 103 = 189,Kristina Sobol Russia  85 + 96 = 181,Mihaela Cambei Romania  80 + 100 = 180,2020,Femenine
55 kg (04.04),Kamila Konotop Ukraine  95 + 113 = 208,Svetlana Yershova Russia  88 + 112 = 200,Nina Sterckx Belgium  88 + 109 = 197,2020,Femenine
59 kg (05.04),Boyanka Kostova Azerbaijan  95 + 116 = 211,Olga Tio Russia  95 + 115 = 210,Dora Tchakounté France  95 + 115 = 210,2020,Femenine
64 kg (06.04),Loredana Toma Romania  114 + 130 = 244,Sarah Davies UK  101 + 129 = 230,Anastasiya Anzorova Russia  100 + 122 = 222,2020,Femenine
71 kg (07.04),Emily Godley UK  98 + 129 = 227,Alessia Durante Italy  97 + 122 = 219,Raluca Olaru Romania  98 + 120 = 218,2020,Femenine
76 kg (08.04),Iryna Deja Ukraine  113 + 135 = 248,Yana Sotiyeva Russia  112 + 134 = 246,Anastasiya Romanova Russia  111 + 132 = 243,2020,Femenine
81 kg (09.04),Alina Marushchak Ukraine  109 + 127 = 236,Gaëlle Nayo-Ketchanke France  100 + 131 = 231,Liana Guiurdzhian Armenia  98 + 129 = 227,2020,Femenine
87 kg (10.04),Daria Ajmerova Russia  108 + 138 = 246,Elena Cîlcic Moldavia  107 + 138 = 245,Daria Riazanova Russia  105 + 135 = 240,2020,Femenine
+87 kg (11.04),Emily Campbell UK  122 + 154 = 276,Anastasiya Lysenko Ukraine  116 + 136 = 252,Melike Günal Turkey  108 + 135 = 243,2020,Femenine
